shop_id,shop_name,address,menus,categories,facilities,awards
oTHOgQmQtLLPMUdjei6WHA,페코리노,서울특별시 강남구 도산대로68길 18 1층,,"이탈리아음식,파스타","발렛,전문 소믈리에,콜키지","발렌타인 맛집,화이트데이 맛집,모임 추천 맛집"
n2QPSSpwMpWVhKNwcGGeGw,일리조,서울특별시 강남구 압구정로42길 23 1층,,"이탈리아음식,파스타","콜키지 프리,예약금 0원 결제,단체,무선인터넷,콜키지,대관",스텔라 인증 BEST 생맥주
KDFZtz4PC0lVdKG1RKk9VQ,480그라디,서울특별시 강남구 도산대로54길 17 1층,,"이탈리아음식,피자","발렛,자동결제,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",리미티드위크
hY3V5_36ksRs-YUvN-1NAw,피자느반 PIZZA N`BANNE,"서울특별시 강남구 삼성로 212 은마아파트 지하1층 A블럭 76호, 73호",,"이탈리아음식,피자","주차,콜키지 프리,반려동물,자동결제,단체,대기공간,무선인터넷,웰컴키즈존,콜키지",첫 예약 할인
d5fKGat5Whoygv8CmRLdBg,오몬자,서울특별시 강남구 봉은사로2길 19 1층 (역삼동),,일식,"자동결제,단체",
rAbHfrUw6wBuX0FwekTnfQ,하마다 도산점,서울특별시 강남구 선릉로153길 32 1층,,일식,"예약금 0원 결제,콜키지,발렛",
NdtTgeihc5a7RVsgkwEUWQ,멘츠루 강남점,서울특별시 강남구 강남대로102길 13 2층 멘츠루 (역삼동),,일식,"단체,아기의자,무선인터넷",강남 회식 맛집
PuwHFDph2YHjIUMmZJ1spw,페피트(PEPITE),서울특별시 강남구 도산대로85길 25 1층 101호,,일식,"발렛,단체,예약금 0원 결제,콜키지,대관","모임 추천 맛집,9월 캐치위크,리미티드위크,앵콜 리미티드"
Y9urJ5nBkKEfGmBcWY0zFA,나이스샤워 선릉역점,서울특별시 강남구 선릉로86길 26 지상 2층 202호,,일식,"대관,자동결제,단체,대기공간,무선인터넷,콜키지","소비쿠폰 사용 가능,첫 예약 할인"
1WKytgu3DAyDM9hmCTeDNw,히키니쿠토코메 도산,서울특별시 강남구 선릉로155길 21 2층,,일식,"노키즈존,예약금 0원 결제","코카-콜라 레드리본 맛집 2024 서울편,8월 저장 TOP 30,2024 BEST,12월 저장 TOP 30,2025 레드리본 전국의 맛집"
s34sZtUwJY5GtqJcFp0qjQ,키고,서울특별시 강남구 삼성로149길 13,,"일식,가이세키오마카세","노키즈존,예약금 0원 결제,발렛,콜키지,대관",모임 추천 맛집
mLluihaWZljmgI-yGr7WXg,오젠,"서울특별시 강남구 도산대로66길 13, 1층",,"일식,가이세키오마카세","자동결제,단체,예약금 0원 결제,발렛,콜키지,대관","발렌타인 맛집,화이트데이 맛집,가정의달 맛집,모임 추천 맛집,첫 예약 할인,앵콜 리미티드,라스트 찬스"
QRdazeriwJrhazPlEtzTJA,스시 소우 sou 蒼,서울특별시 강남구 선릉로 816 지하1층,,"일식,스시,초밥,스시오마카세","발렛,단체,대기공간,무선인터넷,콜키지,대관",예약 성공 보장
MOaZGsEBjTSUvgXE91x2cg,스시 렌쇼,서울특별시 강남구 선릉로148길 48-9 3층,,"일식,스시,초밥,스시오마카세","발렛,예약금 0원 결제,전문 소믈리에,콜키지,대관",첫 예약 할인
ZSEEu8MLkkJkjirx40CslQ,정대 JUNGDAE,서울특별시 강남구 도산대로 501 1층 102호 (청담동),,"일식,스시오마카세","발렛,예약금 0원 결제,콜키지","광화문 회식 맛집,모임 추천 맛집,Taste of Seoul"
-FaudYSBC2OSMrSMCNjiIg,스시미나미,서울 강남구 학동로 401 금하빌딩 B1,,"일식,스시오마카세","주차,자동결제,무선인터넷,콜키지",포인트 혜택
yzIMl-u71ShjJwr5HctW8Q,수다 대치점,서울특별시 강남구 선릉로86길 37 덕우빌딩 2층,,"일식,이자카야","웰컴키즈존,단체,무선인터넷,콜키지",
GxKTtkbO9HNHzhi8HHIvig,스시산원 반주헌,서울특별시 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 지하2층 224호,,"일식,이자카야","예약금 0원 결제,주차,단체,무선인터넷,콜키지",강남 회식 맛집
nBt0xImeEmUvyA5losAQmw,수다 삼성 1호점,서울특별시 강남구 테헤란로87길 53,,"일식,이자카야","단체,발렛,콜키지",모임 추천 맛집
KfEn0Rzqji3Qd111ajKzLA,수다 삼성 2호점,서울특별시 강남구 삼성로100길 23-13,,"일식,이자카야","발렛,단체,무선인터넷,웰컴키즈존,콜키지",모임 추천 맛집
-6XygH78Mk5OGvYPJ1wSQw,와라야키 쿠이신보 신사,서울특별시 강남구 도산대로15길 6 대화빌딩 1층,,"일식,이자카야","발렛,콜키지",산토리 하이볼명가100
13VAyiCWLTpxNhI9PnQZEg,이자카야나무 대치점,서울특별시 강남구 선릉로86길 37 덕우빌딩 지하1층,,"일식,이자카야","위스키 주문,단체,콜키지","소비쿠폰 사용 가능,위스키 페어링 맛집,국내 최저가 위스키"
9c7aIo-CtmLV4xdE-FHkrA,이자카야미주 본점,서울특별시 강남구 테헤란로88길 17 세안빌딩 지하1층,,"일식,이자카야","무선인터넷,예약금 0원 결제,주차,자동결제,단체,콜키지,대관","위스키 페어링 맛집,첫 예약 할인"
eeSHyTtGJQSqXd-XNZqC5A,다이닝 룸이자카야 호랑,서울특별시 강남구 선릉로90길 62 서원빌딩 지상 2층,,"일식,이자카야","주차,자동결제,예약금 0원 결제,콜키지,단체,대관",포인트 혜택
VaxARx0uB6n_wnFOpGYk5w,슈하이,서울특별시 강남구 학동로53길 29 1층,,"일식,주점,이자카야","노키즈존,예약금 0원 결제",
GZxlBuCzv-mOaEr3QudL4g,지칸 삼성2호점,서울특별시 강남구 봉은사로111길 18,,"일식,주점,이자카야","예약금 0원 결제,대관,주차,노키즈존,와인주문,자동결제,단체,무선인터넷,콜키지","가정의달 맛집,예약 성공 보장,모임 추천 맛집,첫 예약 할인,꽃 주문 서비스 ,9월 캐치위크,빗썸 행운 맛집,캐치포인트 적립,라스트 찬스"
4PIBBFoAuFgDWJohJzBxgQ,준 이자카야 신사본점,서울특별시 강남구 도산대로11길 31-6 1층,,"일식,주점,이자카야","예약금 0원 결제,노키즈존,반려동물,발렛,자동결제,단체,대기공간,무선인터넷,콜키지,대관","첫 예약 할인,캐치포인트 적립"
pvxzneV6vUqqZqQCoOTfjQ,로지,서울특별시 강남구 도산대로49길 10-3 1층,,"일식,주점,이자카야","콜키지 프리,발렛,단체,대기공간,무선인터넷,콜키지,대관",콜키지 프리 이벤트
JWykO-xJr_XA6owWWhhJWg,히키 본점,서울특별시 강남구 선릉로148길 40,,"일식,주점,이자카야,요리주점","주차,반려동물,발렛,발렛,자동결제,단체,무선인터넷",
FsOxciEwg66xJGAygoSQ9Q,카츠&야키토리찬 역삼본점,서울특별시 강남구 논현로98길 7 1층,,"일식,주점,이자카야,요리주점","주차,반려동물,자동결제,무선인터넷,콜키지,대관",
uVzDsf1Vi0uR6amX7_CS-g,장정정 선릉 본점,서울특별시 강남구 선릉로82길 15 1층,,"일식,주점,이자카야,요리주점","단체,무선인터넷",리미티드위크
ZHfsYglZupG_r9Nwc_zPGg,이자카야 겐,서울특별시 강남구 언주로 557 시티프라디움 더 강남 101동 1층,,"일식,주점,이자카야,요리주점","주차,콜키지 프리,반려동물,자동결제,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",예약 성공 보장
tLfQeQ-2F0MAw7zjo3d-jQ,란주쿠,서울특별시 강남구 봉은사로82길 31 예논빌딩 1층,,"일식,주점,회,사시미,이자카야","장애인 편의시설,대관,발렛,단체,대기공간,무선인터넷,전문 소믈리에",모임 추천 맛집
XhWY83fA6_zS6giLDPxU8A,춘풍월 ,"서울특별시 강남구 압구정로29길 71  현대상가2동 104호,105호",,"일식,주점,회,사시미,이자카야","단체,위스키 주문,주차,무선인터넷,콜키지","위스키 페어링 맛집,꽃 주문 서비스 ,국내 최저가 위스키"
